iter	Passed	Remaining
0	57	57237
1	58	28946
2	58	19492
3	59	14728
4	59	11938
5	61	10126
6	61	8720
7	61	7663
8	62	6842
9	62	6221
10	63	5692
11	63	5257
12	64	4879
13	64	4553
14	65	4271
15	65	4042
16	66	3839
17	66	3648
18	67	3470
19	67	3319
20	68	3180
21	68	3050
22	68	2930
23	69	2820
24	69	2718
25	70	2623
26	70	2533
27	70	2460
28	71	2385
29	71	2324
30	72	2269
31	72	2207
32	73	2152
33	74	2102
34	74	2053
35	75	2012
36	75	1971
37	76	1936
38	76	1893
39	77	1853
40	77	1814
41	78	1782
42	78	1751
43	79	1721
44	79	1691
45	80	1664
46	81	1651
47	81	1625
48	82	1597
49	83	1577
50	83	1552
51	83	1527
52	84	1504
53	84	1481
54	84	1458
55	85	1437
56	85	1416
57	86	1399
58	86	1382
59	87	1363
60	87	1346
61	87	1330
62	88	1316
63	89	1303
64	89	1290
65	90	1273
66	90	1258
67	91	1249
68	91	1236
69	92	1222
70	92	1208
71	92	1194
72	93	1184
73	93	1171
74	94	1160
75	94	1152
76	95	1141
77	95	1130
78	96	1123
79	96	1115
80	97	1106
81	98	1098
82	98	1086
83	98	1076
84	99	1065
85	99	1057
86	99	1049
87	100	1045
88	101	1036
89	102	1031
90	102	1023
91	102	1015
92	103	1008
93	103	1000
94	104	995
95	105	990
96	105	984
97	106	977
98	106	972
99	107	967
100	107	959
101	108	952
102	108	948
103	109	942
104	109	937
105	110	931
106	110	926
107	111	920
108	111	914
109	112	907
110	112	902
111	113	898
112	113	892
113	114	887
114	114	882
115	115	876
116	115	869
117	115	863
118	116	862
119	117	859
120	117	855
121	118	850
122	118	846
123	119	843
124	119	839
125	120	835
126	120	829
127	121	826
128	121	822
129	122	819
130	123	816
131	123	812
132	124	810
133	124	806
134	125	801
135	125	797
136	126	794
137	126	789
138	127	787
139	127	784
140	128	780
141	128	776
142	128	772
143	129	768
144	129	765
145	130	763
146	130	760
147	131	757
148	131	753
149	132	752
150	133	748
151	133	745
152	133	741
153	134	738
154	134	735
155	135	732
156	135	729
157	136	725
158	136	721
159	136	718
160	137	714
161	137	712
162	138	709
163	138	706
164	139	704
165	139	700
166	139	697
167	140	694
168	140	690
169	140	687
170	141	684
171	141	681
172	141	678
173	142	676
174	142	673
175	143	671
176	143	669
177	144	667
178	144	664
179	145	662
180	145	659
181	146	657
182	146	654
183	147	655
184	148	652
185	149	652
186	149	650
187	150	649
188	150	647
189	151	645
190	151	642
191	152	639
192	152	638
193	153	637
194	154	635
195	154	635
196	155	633
197	155	630
198	156	628
199	156	626
200	156	623
201	157	621
202	157	620
203	158	617
204	158	615
205	159	613
206	159	611
207	160	610
208	160	608
209	161	606
210	161	604
211	161	601
212	162	599
213	162	597
214	163	595
215	163	593
216	163	591
217	164	590
218	165	588
219	165	586
220	165	584
221	166	582
222	167	583
223	167	581
224	168	578
